"week","description","title","number","detail","date","session","year","duration"
"26","beendet","Befragung der Bundesregierung","1","<div class=""bt-top-collapse collapse"">\r\n                Thema:  Bericht der Bundesregierung zur  internationalen Kooperation in Bildung,  Wissenschaft und Forschung 2014 -2016 \r\n                              </div>","28. Juni 2017","242","2017",50
"26","beendet","Fragestunde","2","<div class=""bt-top-collapse collapse"">\r\n                Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812876.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12876 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12876</a> \r\n                              </div>","28. Juni 2017","242","2017",105
"26","Überweisung","Armuts- und Reichtumsbericht","18","<div class=""bt-top-collapse collapse"">\r\n                Beratung der Unterrichtung durch die Bundesregierung<br>Lebenslagen in Deutschland – Fünfter Armuts- und Reichtumsbericht<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/119/1811980.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/11980 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/11980</a><br> \r\n                              </div>","28. Juni 2017","242","2017",85
"26","Antrag","Östliche Partnerschaft der Europäischen Union","3","<div class=""bt-top-collapse collapse"">\r\n                a) Beratung des Antrags der Fraktionen der CDU/CSU und SPD<br>Östliche Partnerschaft der Europäischen Union entschlossen gestalten und konsequent fortsetzen<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812942.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12942 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12942</a><br>b) Beratung des Antrags der Fraktion DIE LINKE.<br>Östliche Partnerschaft für Frieden und Zusammenarbeit in ganz Europa nutzen<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812937.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12937 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12937</a><br> \r\n                              </div>","28. Juni 2017","242","2017",50
"26","Beschlussempfehlung","Bericht des 1. Untersuchungsausschusses (NSA)","4","<div class=""bt-top-collapse collapse"">\r\n                Beratung der Beschlussempfehlung und des Berichts <br>des 1. Untersuchungsausschusses nach Artikel 44 des Grundgesetzes <br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812850.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12850 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12850</a><br> \r\n                              </div>","28. Juni 2017","242","2017",70
"26","Überweisung","Rüstungsexporte","5","<div class=""bt-top-collapse collapse"">\r\n                Beratung des Antrags der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>Rüstungsexporte endlich reduzieren – Frieden, Sicherheit und Menschenrechte bei den Entscheidungen stärken<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812825.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12825 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12825</a><br> \r\n                              </div>","28. Juni 2017","242","2017",35
"26","Antrag","Gesundheits- und Pflegeversicherung","6","<div class=""bt-top-collapse collapse"">\r\n                a) Beratung des Antrags der Fraktion DIE LINKE.<br>Solidarische Gesundheits- und Pflegeversicherung einführen<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812939.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12939 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12939</a><br>b) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Gesundheit (14. Ausschuss)<br>zu dem Antrag der Fraktion DIE LINKE.<br>Solidarische und gerechte Finanzierung von Gesundheit und Pflege<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/117/1811722.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/11722 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/11722</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812932.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12932 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12932</a><br><br> \r\n                              </div>","28. Juni 2017","242","2017",30
"26","Entschließungsantrag","Regierungserklärung: Europäischer Rat und G20-Gipfel","7","<div class=""bt-top-collapse collapse"">\r\n                Abgabe einer Regierungserklärung durch die Bundeskanzlerin <br>zum Europäischen Rat am 22. und 23. Juni 2017 in Brüssel und zum G20-Gipfel am 7. und 8. Juli 2017 in Hamburg<br> \r\n                              </div>","29. Juni 2017","243","2017",140
"26","Gesetzentwurf","Strafrecht - nicht genehmigte Kraftfahrzeugrennen","8","<div class=""bt-top-collapse collapse"">\r\n                a) Zweite und dritte Beratung des vom Bundesrat <br>eingebrachten Entwurfs eines ... Strafrechtsänderungsgesetzes ‒ Strafbarkeit nicht genehmigter Kraftfahrzeugrennen im Straßenverkehr<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/101/1810145.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/10145 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/10145</a><br>Beschlussempfehlung und Bericht des Ausschusses für Recht und Verbraucherschutz (6. Ausschuss)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812936.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12936 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12936</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812964.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12964 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12964</a><br>b) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Recht und Verbraucherschutz (6. Ausschuss) <br>zu dem Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>Verkehrssicherheit erhöhen – Raserei und illegale Autorennen wirksam bekämpfen<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/125/1812558.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12558 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12558</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812936.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12936 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12936</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/129/1812964.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12964 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12964</a><br><br> \r\n                              </div>","29. Juni 2017","243","2017",45
"26","Überweisung","Abrüstungspolitik","9 + ZP 1-3","<div class=""bt-top-collapse collapse"">\r\n                a) Beratung des Antrags der Fraktion DIE LINKE. <br>Abrüstung jetzt und hier beginnen<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/127/1812799.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12799 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12799</a><br>b) Beratung des Antrags der Fraktion DIE LINKE. <br>Keine Orientierung am Zwei-Prozent-Ziel der NATO<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812800.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12800 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12800</a><br>c) Beratung des Antrags der Fraktionen DIE LINKE. und BÜNDNIS 90/DIE GRÜNEN<br>Investitionen in Streumunition und Antipersonenminen verbieten<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/128/1812898.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12898 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12898</a><br>d) Beratung der Beschlussempfehlung und des Berichts des Auswärtigen Ausschusses (3. Ausschuss) <br>zu dem Antrag der Fraktion DIE LINKE. sowie der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>Verhandlungen über einen Atomwaffenverbotsvertrag aktiv unterstützen<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/116/1811609.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/11609 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/11609</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/124/1812419.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12419 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12419</a><br>e) Beratung der Beschlussempfehlung und des Berichts des Auswärtigen Ausschusses (3. Ausschuss) <br>zu dem Antrag der Fraktion DIE LINKE.<br>Atomwaffen aus Deutschland abziehen und Neustationierung stoppen<br>Drucksachen <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/068/1806808.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/6808 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/6808</a>, <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/124/1812420.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/12420 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/12420</a><br><br>ZP1) Unterrichtung durch die Bundesregierung<br>Bericht der Bundesregierung zum Stand der Bemühungen um Rüstungskontrolle, Abrüstung und Nichtverbreitung sowie über die Entwicklung der Streitkräftepotenziale <br>(Jahresabrüstungsbericht 2016)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/119/1811968.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/11968 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/11968</a><br>ZP2) Unterrichtung durch die Bundesregierung<br>Bericht der Bundesregierung zum Stand der Bemühungen um Rüstungskontrolle, Abrüstung und Nichtverbreitung sowie über die Entwicklung der Streitkräftepotenziale <br>(Jahresabrüstungsbericht 2015)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/080/1808065.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/8065 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/8065</a><br>ZP3) Unterrichtung durch die Bundesregierung<br>Bericht der Bundesregierung zum Stand der Bemühungen um Rüstungskontrolle, Abrüstung und Nichtverbreitung sowie über die Entwicklung der Streitkräftepotenziale (Jahresabrüstungsbericht 2014)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/042/1804270.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/4270 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/4270</a> \r\n                              </div>","29. Juni 2017","243","2017",80
